x_px,y_px,x_norm,y_norm,lon_approx,lat_approx
857,443,0.446587,0.410565,77.496909,28.7533937
845,441,0.440334,0.408712,77.4968205,28.7534066
819,456,0.426785,0.422614,77.4966287,28.7533096
796,488,0.414799,0.452271,77.496459,28.7531026
766,488,0.399166,0.452271,77.4962377,28.7531026
729,442,0.379885,0.409639,77.4959647,28.7534001
698,394,0.363731,0.365153,77.495736,28.7537106
681,381,0.354872,0.353105,77.4956106,28.7537947
664,356,0.346014,0.329935,77.4954852,28.7539564
646,345,0.336634,0.319741,77.4953524,28.7540275
620,349,0.323085,0.323448,77.4951605,28.7540016
575,375,0.299635,0.347544,77.4948286,28.7538335
